orig_location,address_clean,latitude,longitude
538 N RUSH ST,"538 N RUSH ST Chicago, IL.",41.89188836,-87.62544847
211 W CHICAGO AVE,"211 W CHICAGO AVE Chicago, IL.",41.89652785,-87.63489996
704 S WABASH AVE,"704 S WABASH AVE Chicago, IL.",41.87301661,-87.62604032
39 E CHICAGO AVE,"39 E CHICAGO AVE Chicago, IL.",41.89664485,-87.62635471
58 E CHICAGO AVE,"58 E CHICAGO AVE Chicago, IL.",41.89675944,-87.626348
6 W CHICAGO AVE,"6 W CHICAGO AVE Chicago, IL.",41.89673244,-87.62840287
10 W CHICAGO AVE,"10 W CHICAGO AVE Chicago, IL.",41.89673205,-87.62853348
122 W KINZIE ST,"122 W KINZIE ST Chicago, IL.",41.88926181,-87.63140857
116 W KINZIE ST,"116 W KINZIE ST Chicago, IL.",41.88926358,-87.6313358
600 S FINANCIAL PL,"600 S FINANCIAL PL Chicago, IL.",41.87369104,-87.63267538
100 N DEARBORN ST,"100 N DEARBORN ST Chicago, IL.",41.8845359,-87.62953623
412 N WELLS ST,"412 N WELLS ST Chicago, IL.",41.889574,-87.63409721
51 W KINZIE ST,"51 W KINZIE ST Chicago, IL.",41.88916502,-87.629961
125 W KINZIE ST,"125 W KINZIE ST Chicago, IL.",41.88912985,-87.63274837
1364 W HUBBARD ST,"1364 W HUBBARD ST Chicago, IL.",41.89000044,-87.66130449
1100 N DEARBORN ST,"1100 N DEARBORN ST Chicago, IL.",41.9019239,-87.63000425
320 W ILLINOIS ST,"320 W ILLINOIS ST Chicago, IL.",41.8908081,-87.63639828
343 S DEARBORN ST,"343 S DEARBORN ST Chicago, IL.",41.8776204,-87.62920516
267 S DEARBORN ST,"267 S DEARBORN ST Chicago, IL.",41.87860769,-87.62924448
131 S DEARBORN ST,"131 S DEARBORN ST Chicago, IL.",41.87986184,-87.62928023
116 N DEARBORN ST,"116 N DEARBORN ST Chicago, IL.",41.88465722,-87.6295405
136 N DEARBORN ST,"136 N DEARBORN ST Chicago, IL.",41.88480882,-87.62954572
144 N DEARBORN ST,"144 N DEARBORN ST Chicago, IL.",41.88486928,-87.62954782
1 N DEARBORN ST,"1 N DEARBORN ST Chicago, IL.",41.8823036,-87.6291552
455 N PARK DR,"455 N PARK DR Chicago, IL.",41.89009444,-87.61952771
40 N DEARBORN ST,"40 N DEARBORN ST Chicago, IL.",41.88224163,-87.62948505
1309 N WELLS ST,"1309 N WELLS ST Chicago, IL.",41.90600019,-87.63447288
935 N DEARBORN ST,"935 N DEARBORN ST Chicago, IL.",41.89924964,-87.62976277
65 W ILLINOIS ST,"65 W ILLINOIS ST Chicago, IL.",41.89076953,-87.63023324
1245 N DEARBORN PKWY,"1245 N DEARBORN PKWY Chicago, IL.",41.90477175,-87.62993351
184 W KINZIE ST,"184 W KINZIE ST Chicago, IL.",41.88924742,-87.63217105
1000 N CLARK ST,"1000 N CLARK ST Chicago, IL.",41.9006107,-87.63142971
1130 N STATE ST,"1130 N STATE ST Chicago, IL.",41.90276711,-87.62855539
49 E OAK ST,"49 E OAK ST Chicago, IL.",41.9007133,-87.62681929
105 E OAK ST,"105 E OAK ST Chicago, IL.",41.9007325,-87.62551541
1311 N HALSTED ST,"1311 N HALSTED ST Chicago, IL.",41.9052763,-87.6480493
8 W CHICAGO AVE,"8 W CHICAGO AVE Chicago, IL.",41.89673244,-87.62846719
18 W CHICAGO AVE,"18 W CHICAGO AVE Chicago, IL.",41.89672715,-87.62879069
214 W INSTITUTE PL,"214 W INSTITUTE PL Chicago, IL.",41.89747213,-87.63447442
812 N FRANKLIN ST,"812 N FRANKLIN ST Chicago, IL.",41.89723263,-87.63578439
115 W KINZIE ST,"115 W KINZIE ST Chicago, IL.",41.88913644,-87.63197776
1502 N WELLS ST,"1502 N WELLS ST Chicago, IL.",41.90943258,-87.63473287
69 W ILLINOIS ST,"69 W ILLINOIS ST Chicago, IL.",41.89077683,-87.63031673
465 N PARK DR,"465 N PARK DR Chicago, IL.",41.89053382,-87.61953985
1220 N WELLS ST,"1220 N WELLS ST Chicago, IL.",41.90448617,-87.6345794
870 N WELLS ST,"870 N WELLS ST Chicago, IL.",41.89715946,-87.63430092
816 N WELLS ST,"816 N WELLS ST Chicago, IL.",41.89676637,-87.63428662
814 N WELLS ST,"814 N WELLS ST Chicago, IL.",41.89675217,-87.63428613
712 N WELLS ST,"712 N WELLS ST Chicago, IL.",41.89514443,-87.63423757
1117 N DEARBORN ST,"1117 N DEARBORN ST Chicago, IL.",41.90237327,-87.62986461
500 S DEARBORN ST,"500 S DEARBORN ST Chicago, IL.",41.87582289,-87.62932047
1409 N DEARBORN PKWY,"1409 N DEARBORN PKWY Chicago, IL.",41.90803304,-87.63003324
1430 N DEARBORN PKWY,"1430 N DEARBORN PKWY Chicago, IL.",41.90836438,-87.63019738
144 S DEARBORN ST,"144 S DEARBORN ST Chicago, IL.",41.87978593,-87.62943326
0 N DEARBORN ST,"1 N DEARBORN ST Chicago, IL.",41.8823036,-87.6291552
1031 N CLARK ST,"1031 N CLARK ST Chicago, IL.",41.90097161,-87.6312838
250 N DEARBORN ST,"250 N DEARBORN ST Chicago, IL.",41.88632487,-87.62959308
1465 N HALSTED ST,"1465 N HALSTED ST Chicago, IL.",41.90772046,-87.64811625
401 N CLARK ST,"401 N CLARK ST Chicago, IL.",41.88927261,-87.63098389
1319 W CHICAGO AVE,"1319 W CHICAGO AVE Chicago, IL.",41.89612523,-87.6602562
745 N WELLS ST,"745 N WELLS ST Chicago, IL.",41.89583542,-87.63410621
714 N DEARBORN ST,"714 N DEARBORN ST Chicago, IL.",41.89525547,-87.62982064
808 N DEARBORN ST,"808 N DEARBORN ST Chicago, IL.",41.89681385,-87.62985372
812 N DEARBORN ST,"812 N DEARBORN ST Chicago, IL.",41.89686356,-87.62985372
1025 N DEARBORN ST,"1025 N DEARBORN ST Chicago, IL.",41.90091875,-87.62982127
1394 N CLARK ST,"1394 N CLARK ST Chicago, IL.",41.90707322,-87.63162439
1335 N CLARK ST,"1335 N CLARK ST Chicago, IL.",41.90615958,-87.63159732
620 S FEDERAL ST,"620 S FEDERAL ST Chicago, IL.",41.87432361,-87.62973937
641 S LA SALLE ST,"641 S LA SALLE ST Chicago, IL.",41.87400644,-87.63159928
631 S LA SALLE ST,"631 S LA SALLE ST Chicago, IL.",41.87411792,-87.63160316
628 S PLYMOUTH CT,"628 S PLYMOUTH CT Chicago, IL.",41.87419555,-87.6287579
652 S PLYMOUTH CT,"652 S PLYMOUTH CT Chicago, IL.",41.87394657,-87.62875303
194 W KINZIE ST,"194 W KINZIE ST Chicago, IL.",41.8892451,-87.63229404
186 W KINZIE ST,"186 W KINZIE ST Chicago, IL.",41.88924696,-87.63219565
1142 N STATE ST,"1142 N STATE ST Chicago, IL.",41.90306246,-87.62866477
20 W KINZIE ST,"20 W KINZIE ST Chicago, IL.",41.88929672,-87.62889498
151 W ADAMS ST,"151 W ADAMS ST Chicago, IL.",41.87933491,-87.6328713
182 W ADAMS ST,"182 W ADAMS ST Chicago, IL.",41.87944344,-87.63346409
133 W ADAMS ST,"133 W ADAMS ST Chicago, IL.",41.87933834,-87.63256716
137 W ADAMS ST,"137 W ADAMS ST Chicago, IL.",41.87933732,-87.63263639
48 S CLINTON ST,"48 S CLINTON ST Chicago, IL.",41.88153818,-87.64125932
102 S CLINTON ST,"102 S CLINTON ST Chicago, IL.",41.88049546,-87.64122724
422 W JACKSON BLVD,"422 W JACKSON BLVD Chicago, IL.",41.87811179,-87.63850269
163 W JACKSON BLVD,"163 W JACKSON BLVD Chicago, IL.",41.87806617,-87.63310887
200 W KINZIE ST,"200 W KINZIE ST Chicago, IL.",41.88922091,-87.63409048
669 N CLARK ST,"669 N CLARK ST Chicago, IL.",41.89440593,-87.63111682
549 N CLARK ST,"549 N CLARK ST Chicago, IL.",41.89142225,-87.6310437
1419 W TAYLOR ST,"1419 W TAYLOR ST Chicago, IL.",41.86926949,-87.66241343
1109 W TAYLOR ST,"1109 W TAYLOR ST Chicago, IL.",41.86939285,-87.65464808
1066 W TAYLOR ST,"1066 W TAYLOR ST Chicago, IL.",41.8695234,-87.65354602
1344 W TAYLOR ST,"1344 W TAYLOR ST Chicago, IL.",41.8694098,-87.66080807
1441 W TAYLOR ST,"1441 W TAYLOR ST Chicago, IL.",41.86925824,-87.663105
1417 W TAYLOR ST,"1417 W TAYLOR ST Chicago, IL.",41.86927042,-87.66233601
1413 W TAYLOR ST,"1413 W TAYLOR ST Chicago, IL.",41.8692723,-87.66218117
1213 W TAYLOR ST,"1213 W TAYLOR ST Chicago, IL.",41.86933056,-87.65845663
20 W POLK ST,"20 W POLK ST Chicago, IL.",41.87235144,-87.62830558
22 W POLK ST,"22 W POLK ST Chicago, IL.",41.87235144,-87.62836846
36 W DIVISION ST,"36 W DIVISION ST Chicago, IL.",41.90398383,-87.62960254
6 W KINZIE ST,"6 W KINZIE ST Chicago, IL.",41.88930744,-87.62827526
619 S LA SALLE ST,"619 S LA SALLE ST Chicago, IL.",41.8742517,-87.63160783
601 S LA SALLE ST,"601 S LA SALLE ST Chicago, IL.",41.87445236,-87.63161483
65 S DEARBORN ST,"65 S DEARBORN ST Chicago, IL.",41.88147927,-87.62930922
616 S DESPLAINES ST,"616 S DESPLAINES ST Chicago, IL.",41.87418017,-87.64396076
300 S DEARBORN ST,"300 S DEARBORN ST Chicago, IL.",41.8781124,-87.6293747
429 N CLARK ST,"429 N CLARK ST Chicago, IL.",41.88996805,-87.63100321
407 N CLARK ST,"407 N CLARK ST Chicago, IL.",41.88944728,-87.63098939
1500 N CLARK ST,"1500 N CLARK ST Chicago, IL.",41.90949146,-87.63168454
425 S DEARBORN ST,"425 S DEARBORN ST Chicago, IL.",41.87658066,-87.62917625
337 S DEARBORN ST,"337 S DEARBORN ST Chicago, IL.",41.87769108,-87.62920726
263 S DEARBORN ST,"263 S DEARBORN ST Chicago, IL.",41.8786548,-87.6292471
212 N CLARK ST,"212 N CLARK ST Chicago, IL.",41.88584949,-87.63105526
208 N CLARK ST,"208 N CLARK ST Chicago, IL.",41.88583291,-87.63105521
600 N STATE ST,"600 N STATE ST Chicago, IL.",41.89252503,-87.62817622
222 S CLARK ST,"222 S CLARK ST Chicago, IL.",41.8790327,-87.63088716
13 E ILLINOIS ST,"13 E ILLINOIS ST Chicago, IL.",41.89081285,-87.62781624
625 S FEDERAL ST,"625 S FEDERAL ST Chicago, IL.",41.87423078,-87.62958265
611 S FEDERAL ST,"611 S FEDERAL ST Chicago, IL.",41.87437566,-87.629587
665 N WELLS ST,"665 N WELLS ST Chicago, IL.",41.89393704,-87.6340542
540 N MICHIGAN AVE,"540 N MICHIGAN AVE Chicago, IL.",41.89192721,-87.62433758
1209 N WELLS ST,"1209 N WELLS ST Chicago, IL.",41.90399573,-87.634408
1535 N WELLS ST,"1535 N WELLS ST Chicago, IL.",41.90997198,-87.63459408
1029 N DEARBORN ST,"1029 N DEARBORN ST Chicago, IL.",41.9009681,-87.62982244
1365 N DEARBORN PKWY,"1365 N DEARBORN PKWY Chicago, IL.",41.90717579,-87.63000792
1425 N DEARBORN PKWY,"1425 N DEARBORN PKWY Chicago, IL.",41.9082761,-87.63004047
